Leonys Martin,TEX,.274,.277
Travis d'Arnaud,NYM,.242,.163
Welington Castillo,CHC,.237,.303
Anthony Rendon,WSN,.287,.289
Jean Segura,MIL,.246,.268
Munenori Kawasaki,TOR,.258,.318
Tommy La Stella,ATL,.251,.255
Will Venable,SDP,.224,.216
B.J. Upton,ATL,.208,.267
Josh Harrison,PIT,.315,.300
Coco Crisp,OAK,.246,.261
Jonathan Villar,HOU,.209,.260
Bryan Holaday,DET,.231,.268
Justin Upton,ATL,.270,.218
Jose Bautista,TOR,.286,.375
Derek Jeter,NYY,.256,.137
Jarrod Saltalamacchia,MIA,.220,.180
Ian Kinsler,DET,.275,.300
Moises Sierra,TOR,.230,.240
Mike Zunino,SEA,.199,.239
Nick Swisher,CLE,.208,.296
Casey McGehee,MIA,.287,.254
Josh Willingham,MIN,.215,.068
Billy Hamilton,CIN,.250,.327
Stephen Vogt,OAK,.279,.364
Ryan Flaherty,BAL,.221,.294
Marcell Ozuna,MIA,.269,.177
Hunter Pence,SFG,.277,.354
Robinson Chirinos,TEX,.239,.438
Wilson Ramos,WSN,.267,.385
Carlos Corporan,HOU,.235,.294
Jake Marisnick,MIA,.249,.432
Kevin Frandsen,WSN,.259,.206
Emilio Bonifacio,CHC,.259,.246
Adam LaRoche,WSN,.259,.283
Ichiro Suzuki,NYY,.284,.240
John Jaso,OAK,.264,.292
Jordy Mercer,PIT,.255,.238
Marlon Byrd,PHI,.264,.298
Conor Gillaspie,CHW,.282,.264
Austin Jackson,DET,.256,.429
Carlos Gonzalez,COL,.238,.386
Paul Goldschmidt,ARI,.300,.241
Jason Heyward,ATL,.271,.323
Raul Ibanez,LAA,.167,.218
Alcides Escobar,KCR,.285,.310
Derek Dietrich,MIA,.228,.320
Jarrod Dyson,KCR,.269,.297
DJ LeMahieu,COL,.267,.326
Juan Uribe,LAD,.311,.273
Javier Baez,CHC,.169,.264
Michael Saunders,SEA,.273,.296
Delmon Young,BAL,.302,.298
Jose Lobaton,WSN,.234,.114
Martin Prado,ARI,.282,.440
Miguel Cabrera,DET,.313,.352
Angel Pagan,SFG,.300,.244
Justin Turner,LAD,.340,.389
Pablo Sandoval,SFG,.279,.258
Nick Punto,OAK,.207,.356
Eric Hosmer,KCR,.270,.254
Michael Cuddyer,COL,.332,.188
Hector Sanchez,SFG,.196,.320
Oswaldo Arcia,MIN,.231,.250
Mike Olt,CHC,.160,.276
Victor Martinez,DET,.335,.317
Reed Johnson,MIA,.235,.405
Justin Ruggiano,CHC,.281,.300
Marc Krauss,HOU,.194,.293
Robinson Cano,SEA,.314,.412
Curtis Granderson,NYM,.227,.157
Dexter Fowler,HOU,.276,.300
Darwin Barney,CHC,.241,.277
Daniel Nava,BOS,.270,.205
Ryan Hanigan,TBR,.218,.226
David Wright,NYM,.269,.200
Elvis Andrus,TEX,.263,.275
Rene Rivera,SDP,.252,.353
Jedd Gyorko,SDP,.210,.262
Gaby Sanchez,PIT,.229,.303
Alex Gordon,KCR,.266,.302
Jose Molina,TBR,.178,.269
Josh Rutledge,COL,.269,.282
Jonathan Schoop,BAL,.209,.385
Adam Lind,TOR,.321,.383
Nelson Cruz,BAL,.271,.282
Wilin Rosario,COL,.267,.282
Derek Norris,OAK,.270,.378
Everth Cabrera,SDP,.232,.279
Jonathan Lucroy,MIL,.301,.217
Chris Owings,ARI,.261,.288
Nate Schierholtz,CHC,.195,.300
Matt Adams,STL,.288,.283
Chris Young,NYM,.222,.310
Anthony Rizzo,CHC,.286,.321
James Jones,SEA,.250,.265
David Ortiz,BOS,.263,.054
Ed Lucas,MIA,.251,.333
Andrelton Simmons,ATL,.244,.254
Brian Dozier,MIN,.242,.232
Ryan Doumit,ATL,.197,.289
David Freese,LAA,.260,.283
Billy Butler,KCR,.271,.333
Ryan Braun,MIL,.266,.417
Adrian Gonzalez,LAD,.276,.316
Michael Choice,TEX,.182,.369
David Murphy,CLE,.262,.204
Jayson Werth,WSN,.292,.206
Chris Iannetta,LAA,.252,.289
Corey Dickerson,COL,.312,.344
Mark Trumbo,ARI,.235,.233
Danny Santana,MIN,.319,.391
Russell Martin,PIT,.290,.342
Starling Marte,PIT,.291,.346
Jackie Bradley,BOS,.198,.158
Gregory Polanco,PIT,.235,.273
Abraham Almonte,SEA,.230,.178
Eduardo Escobar,MIN,.275,.279
Jon Jay,STL,.303,.188
Andrew Romine,DET,.227,.207
Kole Calhoun,LAA,.272,.282
Jhonny Peralta,STL,.263,.292
Sam Fuld,OAK,.239,.271
Mike Moustakas,KCR,.212,.429
Cody Asche,PHI,.252,.170
Josmil Pinto,MIN,.219,.286
Nick Castellanos,DET,.259,.333
Eric Campbell,NYM,.263,.304
Brandon Barnes,COL,.257,.357
Khris Davis,MIL,.244,.230
Jonny Gomes,BOS,.234,.160
Michael McKenry,COL,.315,.265
Andre Ethier,LAD,.249,.333
Hank Conger,LAA,.221,.125
Denard Span,WSN,.302,.370
Jay Bruce,CIN,.217,.271
Steve Pearce,BAL,.293,.275
Jed Lowrie,OAK,.249,.231
Dayan Viciedo,CHW,.231,.280
Kyle Seager,SEA,.268,.191
James Loney,TBR,.290,.419
Joey Votto,CIN,.255,.245
Nolan Arenado,COL,.287,.357
Adam Dunn,CHW,.219,.216
Ryan Howard,PHI,.223,.227
Asdrubal Cabrera,CLE,.241,.357
Andrew McCutchen,PIT,.314,.417
Jose Abreu,CHW,.317,.286
Mark Ellis,STL,.180,.233
